ID;Tag;Start;Dauer;Avg. HR;RMSSD;SDNN;pNN50;RRmin;RRmean;RRmax;LF;HF;LF/HF;Total
96;12.06.16;07:07:30;0:10:34.563000;41.91612583;169.11;171.19;81.73;1117;1431.43;2192;7000.57;5742.95;1.22;14895.74
97;11.06.16;06:15:26;0:10:25;50.06842685;83.31;97.78;50.58;1018;1198.36;1695;2707.4;1869.18;1.45;4718.07
98;10.06.16;06:09:51;0:10:43;44.84137364;146.87;190.04;70.89;902;1338.05;1772;5127.19;5687.12;0.9;11200.16
99;09.06.16;06:20:57;0:11:11;46.65194539;159.36;177.34;69.62;700;1286.12;1742;5739.38;6502.52;0.88;12636.83
100;08.06.16;06:20:31;0:10:52;49.94131895;73.63;94.68;49.25;994;1201.41;1524;1868.07;1469.12;1.27;3478.73
101;07.06.16;06:19:32;0:10:12;42.32863956;166.99;155.8;80.32;1076;1417.48;1826;4078.26;5904.53;0.69;10267.4
102;06.06.16;06:13:40;0:09:36.731000;42.65695984;132.64;150.61;73.07;1104;1406.57;1887;4632.75;3778.04;1.23;8563.16
103;05.06.16;07:02:39;0:11:12;47.17426172;102.26;121.84;60.61;1036;1271.88;1731;1278.5;2443.97;0.52;3996.95
104;04.06.16;06:48:41;0:10:18;46.91495101;104.74;112.04;67.01;1050;1278.91;1730;1352.79;2939.34;0.46;4587.16
105;03.06.16;06:07:54;0:10:08;41.80077749;180.91;203.88;73.58;714;1435.38;1869;6129.45;6363.24;0.96;12992.29
106;02.06.16;06:32:51;0:10:00;47.21286708;137.34;178.78;66.88;942;1270.84;1745;4395.57;4138.92;1.06;9014.57
107;01.06.16;06:15:15;0:10:35;45.56016219;161;182.06;75.21;610;1316.94;1761;10086.04;7402.7;1.36;17879.91
108;31.05.16;06:36:46;0:09:37;44.92161179;133.52;136.4;69.53;1057;1335.66;1703;3572.74;4951.13;0.72;9072.47
109;30.05.16;06:34:44;0:09:43;48.39646383;106.98;139.45;58.32;1004;1239.76;1701;1581.94;2023.33;0.78;3778.83
110;29.05.16;07:12:54;0:10:06;46.8113658;136.28;160.66;67.45;1005;1281.74;1742;3053.12;4457.33;0.68;8305.5
111;28.05.16;06:48:20;0:14:20;46.2324413;158.41;184.1;66.72;672;1297.79;1789;5416.93;8881.51;0.61;14606.43
112;27.05.16;06:23:48;0:10:10;46.67553502;113.24;128.19;67.67;1037;1285.47;1625;2598.47;3781.27;0.69;6634.5
113;26.05.16;06:49:37;0:10:06;45.22976722;134.44;173.02;71.08;1000;1326.56;1741;3040.51;4424.13;0.69;7651.31
114;25.05.16;06:35:37;0:10:46;48.59637471;103.67;132.5;60.38;954;1234.66;1644;2485.38;3021.53;0.82;5818.72
115;24.05.16;06:26:10;0:10:58;44.92564805;124.85;145.65;71.84;978;1335.54;1738;2987.58;3880.2;0.77;7202.35
116;23.05.16;06:22:32;0:10:05;44.73572371;131.07;165.46;72.99;935;1341.21;1728;2746.68;3579.83;0.77;6672.89
117;22.05.16;06:27:26;0:10:50;45.73902835;118.08;140.38;65.18;734;1311.79;1698;2499.94;2829.23;0.88;5770.02
118;21.05.16;06:45:10;0:10:36;50.23779222;106.18;161.89;60.61;847;1194.32;1721;3483.72;3378.54;1.03;7534.42
119;20.05.16;06:22:27;0:10:56;51.0755663;79.73;112.27;51.53;885;1174.73;1541;2482.76;1908.02;1.3;4648.61
120;19.05.16;06:25:40;0:10:08;48.70287996;102.44;134.52;57.87;888;1231.96;1737;3179.75;2863.45;1.11;6231.5
121;18.05.16;06:32:02;0:10:04;55.8638412;45.22;61.79;26.7;840;1074.04;1271;765.67;721.5;1.06;1547.21
122;17.05.16;06:46:44;0:10:18;48.29751268;134.11;154.11;72.67;905;1242.3;1706;3999.46;6707.37;0.6;11005.42
123;16.05.16;06:59:14;0:11:03;51.42005039;97.13;128.34;57.8;903;1166.86;1594;2826.54;2437.2;1.16;5592.88
124;15.05.16;06:45:13;0:10:33;47.50104898;102.89;97.75;70.22;1039;1263.13;1640;1525.4;3155.72;0.48;4812.48
125;14.05.16;07:07:11;0:10:07;48.55508169;102.88;111.95;63.6;1008;1235.71;1578;2476.39;3099.07;0.8;5853.99
126;13.05.16;06:16:41;0:10:38;47.64097759;104.18;117.35;66;893;1259.42;1659;3100.26;3141.4;0.99;6358.99
127;12.05.16;06:22:13;0:10:20;45.96926189;141.91;164.08;73.09;928;1305.22;1847;4451.78;4639.86;0.96;9426.08
128;11.05.16;06:23:58;0:10:20;49.11872815;122.05;110.35;36.25;938;1221.53;1628;2345.77;4029.29;0.58;6647.27
129;10.05.16;06:25:52;0:10:33;48.0653689;116.39;124.66;36.25;986;1248.3;1866;1859.39;3587.47;0.52;5597.57
130;09.05.16;06:15:27;0:09:14.445000;46.76247779;102.78;127.54;33.57;998;1283.08;1651;3453.62;2597.48;1.33;6365.11
131;08.05.16;06:53:44;0:10:46.701000;44.94180037;133.96;152.62;40.52;1047;1335.06;1826;3354.66;4995.9;0.67;8835.31
132;07.05.16;06:10:20;0:10:07;44.24028373;138.91;148.15;77.93;989;1356.23;1797;2982.38;4934.14;0.6;8151.37
133;06.05.16;06:30:57;0:09:52.222000;46.91091617;115.28;146.77;37.14;1036;1279.02;1807;2513.62;3621.56;0.69;6359.4
134;05.05.16;06:33:36;0:10:17.279000;47.96508142;115.01;137.02;35.77;895;1250.91;1835;3109.78;4080.39;0.76;7461.11
135;04.05.16;06:28:41;0:10:05.122000;46.27630036;137.41;154.4;39.91;983;1296.56;1844;2272.25;6440.96;0.35;9172.96
136;03.05.16;06:32:01;0:10:35.910000;47.07765459;105.81;111.88;35.33;1000;1274.49;1708;1676.67;3688.22;0.45;5607.75
137;02.05.16;06:32:25;0:10:45.310000;42.21784408;136.06;155.96;39.2;1104;1421.2;1872;3201;5021.71;0.64;8382.54
138;01.05.16;06:55:20;0:10:01.596000;50.12447578;115.01;122.45;36.33;700;1197.02;1624;2069.91;4148.68;0.5;6541.57
139;30.04.16;06:58:41;0:12:09.974000;48.15216083;97.66;143.91;29.82;987;1246.05;1769;2942.4;2219.98;1.33;5304.16
140;29.04.16;06:33:29;0:10:07.544000;46.27665728;138.54;147.14;39.25;972;1296.55;1752;3351.41;7475.55;0.45;11133.3
141;28.04.16;06:36:17;0:10:57.882000;47.72889985;111.12;124.75;36.52;700;1257.1;1656;2278.31;4154.49;0.55;6398.83
142;27.04.16;06:31:23;0:10:26.335000;45.79663242;129.28;144.54;37.63;1043;1310.14;1809;3115.08;5497.15;0.57;8705.44
143;26.04.16;06:29:43;0:10:07.726000;46.47812042;120.11;137.24;36.83;1014;1290.93;1745;1428.14;4154.25;0.34;5878.97
144;25.04.16;06:18:32;0:08:04.402000;43.24604839;128.81;118.15;40.35;1087;1387.41;1750;1089.38;5196.14;0.21;6521.95
145;24.04.16;07:04:08;0:10:15.839000;47.51910664;103.53;125.64;33.89;1008;1262.65;1720;2418.42;3122.42;0.77;5908.64
146;23.04.16;06:40:04;0:11:36.757000;48.7717644;137.45;129.03;36.75;700;1230.22;1857;2145.26;5819.12;0.37;8181.18
147;22.04.16;06:20:43;0:08:53.683000;48.16453003;106.43;111.38;37.17;945;1245.73;1576;1729.28;4768.73;0.36;6904.89
148;21.04.16;06:35:57;0:10:03.646000;47.59411737;114.16;108.78;36.09;921;1260.66;1619;3308.8;4156.38;0.8;7663.47
149;20.04.16;06:34:41;0:09:30.476000;49.35955971;100.61;122.07;31.87;995;1215.57;1771;4507.45;2841.51;1.59;7794.35
150;19.04.16;06:31:53;0:10:20.120000;45.79523424;132.08;143.58;41.04;962;1310.18;1733;2016.35;4756.48;0.42;7009.73
151;18.04.16;06:30:47;0:10:02.380000;39.30431365;163.4;173.19;40.11;1014;1526.55;2017;10054.76;6187.45;1.63;17731.02
152;17.04.16;07:12:57;0:10:16.871000;47.02083807;102.79;117.39;33.05;1002;1276.03;1852;3202.01;3213.78;1;6861.04
153;16.04.16;07:27:46;0:10:01.565000;47.44395683;107.4;134.21;32.91;998;1264.65;1675;2475.15;3133.25;0.79;5841.13
154;15.04.16;06:15:04;0:10:26.127000;45.29088068;152.5;155.96;37.58;984;1324.77;2152;2608.88;5352.88;0.49;8300.31
155;14.04.16;06:25:16;0:11:00.457000;42.83450176;125.07;140.16;40.52;700;1400.74;1801;2353.8;3344.51;0.7;5989.21
156;13.04.16;06:28:21;0:07:04.438000;46.8263445;167.1;170.52;37.78;940;1281.33;1813;3515.3;7813.67;0.45;11957.43
157;12.04.16;06:29:23;0:10:10.770000;46.71223705;112.55;125.43;33.55;938;1284.46;1758;2863.23;3340.35;0.86;6674.17
158;11.04.16;06:13:46;0:09:09.941000;41.54865694;150.24;139.72;40.8;1166;1444.09;1793;3091.37;5558.4;0.56;8962.3
159;10.04.16;05:53:57;0:09:12.482000;43.20369824;159.43;141.25;40;1121;1388.77;1876;3260.89;5272.12;0.62;9035.47
160;09.04.16;07:02:13;0:10:30.305000;45.63639959;102.97;114.65;33.05;1068;1314.74;1735;3091.83;3385.37;0.91;6781.77
161;08.04.16;06:18:12;0:09:10.351000;45.06771424;110;119.05;36.61;1061;1331.33;1718;1600.98;3336.52;0.48;5240.14
162;07.04.16;06:23:48;0:10:06.563000;46.14603682;120.04;126.51;39.12;988;1300.22;1759;2392.39;4677.28;0.51;7754.11
163;06.04.16;06:26:43;0:10:19.156000;42.70857802;157.83;174.71;40.38;881;1404.87;1798;4065.26;5614.49;0.72;10628.87
164;05.04.16;07:09:29;0:10:44.425000;46.42848852;95.17;131.16;27.03;972;1292.31;1866;1628.33;1880.38;0.87;3706.31
165;04.04.16;06:27:34;0:10:19.867000;40.19911964;110.84;127.72;35.77;1208;1492.57;1801;2857.39;2218.09;1.29;5571.66
166;03.04.16;07:21:07;0:10:28.567000;43.32974659;82.85;104.11;24.22;1006;1384.73;1732;1385.35;1574.53;0.88;3157.56
167;02.04.16;07:10:25;0:10:09.503000;42.28896047;114.8;150.13;31.91;1071;1418.81;1873;2774.04;4460.44;0.62;7361.5
168;01.04.16;06:37:23;0:10:01.205000;41.54060248;146.37;159.69;42.05;968;1444.37;1822;2193.3;5357.3;0.41;8673.11
169;31.03.16;06:34:42;0:10:01.106000;40.69866034;137.82;136.76;44.42;1098;1474.25;2127;3002.38;4324.69;0.69;7690.54
170;30.03.16;06:38:27;0:10:04.162000;40.02775258;145.08;142.1;41.25;1073;1498.96;1854;1916.79;4719.3;0.41;6755.46
171;29.03.16;07:34:31;0:09:33.560000;43.52020425;123.46;114.18;39.9;1130;1378.67;1728;1525.17;3906.18;0.39;5447.62
172;28.03.16;07:17:16;0:09:57.538000;42.9544039;129.64;132.62;37.77;1125;1396.83;1788;1851.17;4736.97;0.39;6765.06
173;27.03.16;07:21:43;0:10:01.129000;40.86692367;166.3;140.7;43.35;1152;1468.18;1845;2300.89;8314.56;0.28;10983.2
174;26.03.16;05:55:15;0:10:05.410000;42.67000441;120.61;153.97;36.62;1105;1406.14;1842;1561.22;4407.31;0.35;6177.69
175;25.03.16;06:04:59;0:10:01.803000;46.29236716;107.3;126.68;37.91;1045;1296.11;1676;1101.2;3673.44;0.3;4990.8
176;24.03.16;05:30:32;0:09:38.558000;45.37342327;111.1;133.83;39.03;1006;1322.36;1813;1167.4;3819.08;0.31;5110.75
177;23.03.16;05:17:56;0:09:30.881000;43.98278807;169.11;174.49;43.29;700;1364.17;1850;3325.14;6097.08;0.55;9758.78
178;22.03.16;05:31:13;0:10:00.969000;45.95482641;114.41;135.46;35.53;948;1305.63;1735;1286.7;3652.02;0.35;5018.32
179;21.03.16;05:20:04;0:09:28.018000;42.26334289;138.27;133.08;43.32;1061;1419.67;1805;1905.97;5267.79;0.36;7376.68
180;20.03.16;06:02:10;0:11:03.411000;46.18510992;120.07;141.98;36.63;983;1299.12;1720;1983.9;4828.34;0.41;7477.67
181;19.03.16;06:21:50;0:10:15.228000;45.35798792;125.68;165.84;38.72;798;1322.81;1713;6975.04;4707.11;1.48;12534.71
182;18.03.16;05:20:08;0:10:17.079000;45.08227515;123.67;123.42;38.56;1059;1330.9;1668;2365.68;4957.19;0.48;7472.56
183;17.03.16;05:33:01;0:10:15.424000;45.48762737;107.36;132.8;38.43;975;1319.04;1736;2368.81;2944.82;0.8;5943.99
184;16.03.16;05:32:58;0:10:40.979000;48.92288123;106.82;127.72;33.33;908;1226.42;1743;2839.33;4607.3;0.62;7871.82
185;15.03.16;05:31:23;0:10:15.666000;41.57860088;102.83;127.01;31.68;1134;1443.05;1850;3594.47;2293.65;1.57;5992.29
186;14.03.16;05:31:19;0:11:00.187000;43.9892373;132.01;150.1;39.33;977;1363.97;1770;2089.38;4352.87;0.48;7175.94
187;13.03.16;05:53:22;0:11:12.723000;46.90138203;103.96;140.94;27.8;700;1279.28;1671;2452.17;2236.84;1.1;5050.69
188;12.03.16;05:43:14;0:11:02.952000;45.11820971;111.24;159.61;30.18;948;1329.84;1707;3241.56;2619.68;1.24;6996.24
189;11.03.16;05:16:48;0:10:03.181000;44.20638488;118.63;143.89;37.5;1016;1357.27;1749;3041.04;3287.78;0.92;6935.36
